id,neighborhood,price,bedrooms,bathrooms,house_size,description,neighborhood_description
0,Green Oaks,800000,3,2,2000,"Welcome to this eco-friendly oasis nestled in the heart of Green Oaks. This charming 3-bedroom, 2-bathroom home boasts energy-efficient features such as solar panels and a well-insulated structure. Natural light floods the living spaces, highlighting the beautiful hardwood floors and eco-conscious finishes. The open-concept kitchen and dining area lead to a spacious backyard with a vegetable garden, perfect for the eco-conscious family. Embrace sustainable living without compromising on style in this Green Oaks gem.","Green Oaks is a close-knit, environmentally-conscious community with access to organic grocery stores, community gardens, and bike paths. Take a stroll through the nearby Green Oaks Park or grab a cup of coffee at the cozy Green Bean Cafe. With easy access to public transportation and bike lanes, commuting is a breeze."
1,Downtown Loft District,1200000,2,2,1800,"Luxury loft living in the heart of the vibrant Downtown Loft District. This 2-bedroom, 2-bathroom loft features high ceilings, exposed brick walls, and floor-to-ceiling windows offering stunning city views. The modern kitchen is perfect for entertaining, and the spacious master suite includes a walk-in closet and spa-like bathroom. Enjoy the convenience of living within walking distance to top restaurants, shops, and entertainment venues.","The Downtown Loft District is a bustling neighborhood known for its trendy restaurants, art galleries, and nightlife. Residents enjoy easy access to public transportation and a vibrant urban lifestyle."
2,Suburban Meadows,600000,4,3,2500,"Spacious family home in the desirable Suburban Meadows neighborhood. This 4-bedroom, 3-bathroom home features a large backyard with a deck, perfect for outdoor entertaining. The open-concept living area includes a cozy fireplace and a gourmet kitchen with stainless steel appliances. The master suite offers a private retreat with a luxurious en-suite bathroom and walk-in closet.","Suburban Meadows is a family-friendly neighborhood with top-rated schools, parks, and community events. Enjoy the peace and quiet of suburban living while still being close to shopping and dining options."
3,Waterfront Estates,1500000,5,4,4000,"Live the waterfront lifestyle in this stunning 5-bedroom, 4-bathroom estate. This luxurious home features panoramic water views, a private dock, and a spacious outdoor living area with a pool and hot tub. The gourmet kitchen is a chef's dream with high-end appliances and a large island for entertaining. The master suite includes a private balcony overlooking the water and a spa-like bathroom.","Waterfront Estates is an exclusive waterfront community with private boat docks, walking trails, and upscale dining options. Residents enjoy a resort-style living experience with breathtaking views of the water."
4,Mountain Retreat,700000,3,2,2200,"Escape to this peaceful mountain retreat nestled in the scenic mountains. This 3-bedroom, 2-bathroom home features a cozy fireplace, vaulted ceilings, and a wrap-around deck with mountain views. The open-concept living area is perfect for relaxing or entertaining, and the spacious master suite offers a private sanctuary with a jetted tub and walk-in closet.","Mountain Retreat is a tranquil mountain community with hiking trails, wildlife, and stunning views. Enjoy the serenity of nature while still being close to shopping and dining options."
5,Historic District,900000,4,3,2800,"Step back in time with this historic 4-bedroom, 3-bathroom home in the charming Historic District. This beautifully restored home features original hardwood floors, crown molding, and a grand staircase. The updated kitchen includes modern appliances and a breakfast nook, while the master suite offers a private balcony and en-suite bathroom.","The Historic District is a picturesque neighborhood with tree-lined streets, historic homes, and boutique shops. Residents enjoy a sense of community and a connection to the area's rich history."
6,Beachfront Paradise,2000000,6,5,5000,"Experience luxury beachfront living in this 6-bedroom, 5-bathroom paradise. This custom-built home features a private beach access, infinity pool, and outdoor kitchen for entertaining. The open-concept living area offers panoramic ocean views, while the master suite includes a private balcony and a spa-like bathroom with a soaking tub.","Beachfront Paradise is a prestigious beachfront community with private beach access, upscale dining options, and beachfront activities. Residents enjoy a resort-style living experience with stunning views of the ocean."
7,Golf Course Community,750000,4,3,2600,"Live the golf course lifestyle in this 4-bedroom, 3-bathroom home in the Golf Course Community. This spacious home features a gourmet kitchen, formal dining room, and a cozy family room with a fireplace. The master suite offers a private retreat with a walk-in closet and a luxurious en-suite bathroom.","The Golf Course Community is a golf lover's paradise with access to a championship golf course, clubhouse, and golf events. Residents enjoy a peaceful setting with scenic views of the fairways and greens."
8,Urban Condo Living,500000,2,1,1200,"Experience urban living at its finest in this 2-bedroom, 1-bathroom condo. This modern condo features an open floor plan, high ceilings, and floor-to-ceiling windows offering city views. The sleek kitchen includes stainless steel appliances and a breakfast bar, while the master bedroom offers a walk-in closet and access to a private balcony.","Urban Condo Living is a vibrant urban neighborhood with trendy restaurants, shops, and entertainment venues. Residents enjoy the convenience of city living with easy access to public transportation and cultural attractions."
9,Lakefront Retreat,1000000,3,2,1800,"Escape to this serene lakefront retreat in the peaceful Lakefront Retreat neighborhood. This 3-bedroom, 2-bathroom home features a private dock, screened porch, and outdoor fire pit for relaxing by the water. The open-concept living area includes a cozy fireplace and a gourmet kitchen with granite countertops. The master suite offers a private oasis with lake views and a spa-like bathroom.","Lakefront Retreat is a tranquil lakefront community with fishing, boating, and water activities. Residents enjoy the beauty of the lake and the peaceful surroundings of nature."
